"
移动应用开发技术（英语）
周晓磊(副教授)
1-17[周]
博学楼-阶11
","
商务智能与数据挖掘
覃爱明(讲师（高校）)
1-17[周]
博学楼-412
","
网络安全技术
郑小玲(副教授)
1-17[周]
慎思楼-212
","
商务智能与数据挖掘
覃爱明(讲师（高校）)
1-17[单周]
7机房
","
编译原理
金继东(副教授)
1-17[周]
博学楼-612
", , 
"
编译原理
金继东(副教授)
1-17[双周]
7机房

移动应用开发技术（英语）
周晓磊(副教授)
1-17[单周]
7机房
","
应用写作
张小乐(教授)
1-17[周]
博学楼-504
","
XML技术及应用
邵丽(副教授)
1-17[单周]
7机房

网络安全技术
郑小玲(副教授)
1-17[双周]
6机房
", ,"
操作系统
邵丽(副教授)
1-17[单周]
6机房
", , 
,,"
XML技术及应用
邵丽(副教授)
1-17[周]
博学楼-310
"," 
初级日语
杜娟(讲师（高校）)
1-17[周]
慎思楼-418
","
操作系统
邵丽(副教授)
1-17[周]
博学楼-524
", , 
"  
高级电子商务
王纪文(讲师（高校）)
1-17[周]
博学楼-611
", , ,"
FLASH动画制作
卢山(副教授)
1-17[周]
5机房
", , , 
 , , , , , , 
